id,fullName,link,firstName,lastName,primaryNumber,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,nationality,height,weight,active,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,gameId,teamID,pPos
8470966,Mark Giordano,/api/v1/people/8470966,Mark,Giordano,55,1983-10-03,39,Toronto,ON,CAN,CAN,"6' 0""",205,True,False,False,False,L,Y,2021020002,10,Defenseman
8476905,Chandler Stephenson,/api/v1/people/8476905,Chandler,Stephenson,20,1994-04-22,28,Saskatoon,SK,CAN,CAN,"6' 0""",209,True,False,False,False,L,Y,2021020002,54,Center
8474149,Evgenii Dadonov,/api/v1/people/8474149,Evgenii,Dadonov,63,1989-03-12,33,Chelyabinsk,,RUS,RUS,"5' 11""",189,True,False,False,False,L,Y,2021020002,8,Right Wing
8477938,Haydn Fleury,/api/v1/people/8477938,Haydn,Fleury,7,1996-07-08,26,Carlyle,SK,CAN,CAN,"6' 4""",208,True,False,False,False,L,Y,2021020002,14,Defenseman
8475913,Mark Stone,/api/v1/people/8475913,Mark,Stone,61,1992-05-13,30,Winnipeg,MB,CAN,CAN,"6' 3""",217,True,False,True,False,R,Y,2021020002,54,Right Wing
8479718,Alex Barré-Boulet,/api/v1/people/8479718,Alex,Barré-Boulet,12,1997-05-21,25,Montmagny,QC,CAN,CAN,"5' 10""",180,True,False,False,False,L,N,2021020002,14,Center
8474565,Alex Pietrangelo,/api/v1/people/8474565,Alex,Pietrangelo,7,1990-01-18,32,King City,ON,CAN,CAN,"6' 3""",215,True,False,False,False,R,Y,2021020002,54,Defenseman
8475831,Philipp Grubauer,/api/v1/people/8475831,Philipp,Grubauer,31,1991-11-25,30,Rosenheim,,DEU,DEU,"6' 1""",188,True,False,False,False,L,Y,2021020002,55,Goalie
8479639,Dylan Coghlan,/api/v1/people/8479639,Dylan,Coghlan,15,1998-02-19,24,Duncan,BC,CAN,CAN,"6' 2""",208,True,False,False,False,R,Y,2021020002,12,Defenseman
8475215,Robin Lehner,/api/v1/people/8475215,Robin,Lehner,90,1991-07-24,31,Gothenburg,,SWE,SWE,"6' 4""",250,True,False,False,False,L,N,2021020002,54,Goalie
8478407,Vince Dunn,/api/v1/people/8478407,Vince,Dunn,29,1996-10-29,25,Mississauga,ON,CAN,CAN,"6' 0""",200,True,False,False,False,L,Y,2021020002,55,Defenseman
8476448,William Karlsson,/api/v1/people/8476448,William,Karlsson,71,1993-01-08,29,Marsta,,SWE,SWE,"6' 0""",190,True,False,False,False,L,Y,2021020002,54,Center
8477955,Jared McCann,/api/v1/people/8477955,Jared,McCann,19,1996-05-31,26,Stratford,ON,CAN,CAN,"6' 1""",191,True,False,False,False,L,Y,2021020002,55,Left Wing
8475188,Brayden McNabb,/api/v1/people/8475188,Brayden,McNabb,3,1991-01-21,31,Davidson,SK,CAN,CAN,"6' 4""",215,True,False,False,False,L,Y,2021020002,54,Defenseman
8478434,Keegan Kolesar,/api/v1/people/8478434,Keegan,Kolesar,55,1997-04-08,25,Brandon,MB,CAN,CAN,"6' 2""",217,True,False,False,False,R,Y,2021020002,54,Right Wing
8479987,Morgan Geekie,/api/v1/people/8479987,Morgan,Geekie,67,1998-07-20,24,Strathclair,MB,CAN,CAN,"6' 3""",200,True,False,False,False,R,Y,2021020002,55,Center
8477369,Carson Soucy,/api/v1/people/8477369,Carson,Soucy,28,1994-07-27,28,Viking,AB,CAN,CAN,"6' 5""",208,True,False,False,False,L,Y,2021020002,55,Defenseman
8474157,Max Pacioretty,/api/v1/people/8474157,Max,Pacioretty,67,1988-11-20,33,New Canaan,CT,USA,USA,"6' 2""",217,True,False,False,False,L,N,2021020002,12,Left Wing
8478891,Mason Appleton,/api/v1/people/8478891,Mason,Appleton,22,1996-01-15,26,Green Bay,WI,USA,USA,"6' 2""",193,True,False,False,False,R,Y,2021020002,52,Center
